Feature,Importance
V14,0.8071472
V7,0.0879811
V17,0.008837721
V4,0.008634593
V8,0.006532039
V12,0.0056638545
V11,0.0054602628
V27,0.0053439676
V10,0.004815508
V9,0.0043392237
Amount,0.0039438247
V28,0.003667672
V20,0.0033022803
V13,0.0033014098
V16,0.0032698384
V5,0.0030600026
V18,0.0030081682
V26,0.0029743267
V2,0.0027492917
V19,0.0027445897
V6,0.0027170682
V21,0.0025293257
V22,0.0024411804
Time,0.0024016204
V1,0.002323298
V15,0.0023196223
V25,0.002318786
V3,0.0022783233
V23,0.0021043608
V24,0.0017895665
